"https://vcloud.hudl.com/file/broadcast/3501843.m3u8?hfr=1 - Montpelier at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 24, 2026",
        "https://vcloud.hudl.com/file/broadcast/879761.m3u8?hfr=1 - Delphos St. John's at Paulding | 2023-24 Girls Basketball | MySports.Live - Jan 09, 2024",

        "https://vcloud.hudl.com/file/broadcast/845661.m3u8?hfr=1 - Antwerp at Paulding | 2023-24 Boys Basketball | MySports.Live - Jan 05, 2024",

        "https://vcloud.hudl.com/file/broadcast/845659.m3u8?hfr=1 - Paulding at Antwerp | 2023-24 Girls Basketball | MySports.Live - Jan 04, 2024",

        "https://vcloud.hudl.com/file/broadcast/838976.m3u8?hfr=1 - Stryker at Paulding | 2023-24 Boys Basketball | MySports.Live - Dec 22, 2023",

        "https://vcloud.hudl.com/file/broadcast/838897.m3u8?hfr=1 - Delphos Jefferson at Paulding | 2023-24 Girls Basketball | MySports.Live - Dec 21, 2023",

        "https://vcloud.hudl.com/file/broadcast/838875.m3u8?hfr=1 - Holgate at Paulding | 2023-24 Girls Basketball | MySports.Live - Dec 19, 2023",

        "https://vcloud.hudl.com/file/broadcast/838839.m3u8?hfr=1 - Montpelier at Paulding | 2023-24 Girls Basketball | MySports.Live - Dec 16, 2023",

        "https://vcloud.hudl.com/file/broadcast/838822.m3u8?hfr=1 - North Central at Paulding | 2023-24 Boys Basketball | MySports.Live - Dec 15, 2023",

        "https://vcloud.hudl.com/file/broadcast/784726.m3u8?hfr=1 - Edon at Paulding | 2023-24 Boys Basketball | MySports.Live - Dec 02, 2023",

        "https://vcloud.hudl.com/file/broadcast/784722.m3u8?hfr=1 - Edon at Paulding | 2023-24 Girls Basketball | MySports.Live - Dec 02, 2023",

        "https://vcloud.hudl.com/file/broadcast/784714.m3u8?hfr=1 - Continental at Paulding | 2023-24 Boys Basketball | MySports.Live - Dec 01, 2023",

        "https://vcloud.hudl.com/file/broadcast/696180.m3u8?hfr=1 - Paulding at Wayne Trace | 2023 Football | MySports.Live - Oct 20, 2023",

        "https://vcloud.hudl.com/file/broadcast/696176.m3u8?hfr=1 - Antwerp at Paulding | 2023 Football | MySports.Live - Oct 13, 2023",

        "https://vcloud.hudl.com/file/broadcast/696174.m3u8?hfr=1 - Wayne Trace at Paulding | 2023 Volleyball | MySports.Live - Oct 12, 2023",

        "https://vcloud.hudl.com/file/broadcast/685659.m3u8?hfr=1 - Ottoville at Paulding | 2023 Volleyball | MySports.Live - Oct 05, 2023",

        "https://vcloud.hudl.com/file/broadcast/677819.m3u8?hfr=1 - Hicksville at Paulding | 2023 Football | MySports.Live - Sep 29, 2023",

        "https://vcloud.hudl.com/file/broadcast/655186.m3u8?hfr=1 - Edgerton at Paulding | 2023 Volleyball | MySports.Live - Sep 19, 2023",

        "https://vcloud.hudl.com/file/broadcast/654733.m3u8?hfr=1 - Fairview at Paulding | 2023 Football | MySports.Live - Sep 15, 2023",

        "https://vcloud.hudl.com/file/broadcast/629200.m3u8?hfr=1 - Ayersville at Paulding | 2023 Football | MySports.Live - Sep 08, 2023",

        "https://vcloud.hudl.com/file/broadcast/629196.m3u8?hfr=1 - Bryan at Paulding | 2023 Volleyball | MySports.Live - Aug 28, 2023",

        "https://vcloud.hudl.com/file/broadcast/606459.m3u8?hfr=1 - Crestview at Paulding | 2023 Volleyball | MySports.Live - Aug 22, 2023",

        "https://vcloud.hudl.com/file/broadcast/606457.m3u8?hfr=1 - Swanton at Paulding | 2023 Football | MySports.Live - Aug 18, 2023",

        "https://vcloud.hudl.com/file/broadcast/507995.m3u8?hfr=1 - Miller City at Paulding | 2022-23 Boys Basketball | MySports.Live - Feb 16, 2023",

        "https://vcloud.hudl.com/file/broadcast/507994.m3u8?hfr=1 - Wayne Trace at Paulding | 2022-23 Boys Basketball | MySports.Live - Feb 10, 2023",

        "https://vcloud.hudl.com/file/broadcast/508009.m3u8?hfr=1 - Paulding at Wayne Trace | 2022-23 Girls Basketball | MySports.Live - Feb 09, 2023",

        "https://vcloud.hudl.com/file/broadcast/508001.m3u8?hfr=1 - Defiance at Paulding | 2022-23 Girls Basketball | MySports.Live - Feb 07, 2023",

        "https://vcloud.hudl.com/file/broadcast/507993.m3u8?hfr=1 - Lincolnview at Paulding | 2022-23 Boys Basketball | MySports.Live - Feb 04, 2023",

        "https://vcloud.hudl.com/file/broadcast/507999.m3u8?hfr=1 - Tinora at Paulding | 2022-23 Girls Basketball | MySports.Live - Feb 02, 2023",

        "https://vcloud.hudl.com/file/broadcast/507998.m3u8?hfr=1 - Ottoville at Paulding | 2022-23 Girls Basketball | MySports.Live - Jan 31, 2023",

        "https://vcloud.hudl.com/file/broadcast/507996.m3u8?hfr=1 - Continental at Paulding | 2022-23 Girls Basketball | MySports.Live - Jan 28, 2023",

        "https://vcloud.hudl.com/file/broadcast/507992.m3u8?hfr=1 - Fairview at Paulding | 2022-23 Boys Basketball | MySports.Live - Jan 27, 2023",

        "https://vcloud.hudl.com/file/broadcast/502893.m3u8?hfr=1 - Hicksville at Paulding | 2022-23 Boys Basketball | MySports.Live - Jan 20, 2023",

        "https://vcloud.hudl.com/file/broadcast/502890.m3u8?hfr=1 - Delta at Paulding | 2022-23 Girls Basketball | MySports.Live - Jan 17, 2023",

        "https://vcloud.hudl.com/file/broadcast/496492.m3u8?hfr=1 - Delphos Jefferson at Paulding | 2022-23 Boys Basketball | MySports.Live - Jan 14, 2023",

        "https://vcloud.hudl.com/file/broadcast/496473.m3u8?hfr=1 - Edgerton at Paulding | 2022-23 Girls Basketball | MySports.Live - Jan 12, 2023",

        "https://vcloud.hudl.com/file/broadcast/496472.m3u8?hfr=1 - Van Wert at Paulding | 2022-23 Girls Basketball | MySports.Live - Jan 10, 2023",

        "https://vcloud.hudl.com/file/broadcast/489348.m3u8?hfr=1 - Liberty Center at Paulding | 2022-23 Boys Basketball | MySports.Live - Jan 07, 2023",

        "https://vcloud.hudl.com/file/broadcast/489347.m3u8?hfr=1 - Ayersville at Paulding | 2022-23 Boys Basketball | MySports.Live - Jan 06, 2023",

        "https://vcloud.hudl.com/file/broadcast/489344.m3u8?hfr=1 - Wauseon at Paulding | 2022-23 Boys Basketball | MySports.Live - Dec 29, 2022",

        "https://vcloud.hudl.com/file/broadcast/482767.m3u8?hfr=1 - Paulding at Antwerp | 2022-23 Boys Basketball | MySports.Live - Dec 16, 2022",

        "https://vcloud.hudl.com/file/broadcast/482766.m3u8?hfr=1 - Antwerp at Paulding | 2022-23 Girls Basketball | MySports.Live - Dec 15, 2022",

        "https://vcloud.hudl.com/file/broadcast/473127.m3u8?hfr=1 - Pettisville at Paulding | 2022-23 Boys Basketball | MySports.Live - Dec 03, 2022",

        "https://vcloud.hudl.com/file/broadcast/473126.m3u8?hfr=1 - Defiance at Paulding | 2022-23 Boys Basketball | MySports.Live - Dec 02, 2022",

        "https://vcloud.hudl.com/file/broadcast/473125.m3u8?hfr=1 - Bryan at Paulding | 2022-23 Girls Basketball | MySports.Live - Dec 01, 2022",

        "https://vcloud.hudl.com/file/broadcast/473121.m3u8?hfr=1 - Lincolnview at Paulding | 2022-23 Girls Basketball | MySports.Live - Nov 29, 2022",

        "https://vcloud.hudl.com/file/broadcast/473119.m3u8?hfr=1 - Lima Bath at Paulding | 2022-23 Girls Basketball | MySports.Live - Nov 28, 2022",

        "https://vcloud.hudl.com/file/broadcast/469819.m3u8?hfr=1 - Bluffton at Paulding | 2022-23 Boys Basketball | MySports.Live - Nov 26, 2022",

        "https://vcloud.hudl.com/file/broadcast/443683.m3u8?hfr=1 - Wayne Trace at Paulding | 2022 Football | MySports.Live - Oct 21, 2022",

        "https://vcloud.hudl.com/file/broadcast/438955.m3u8?hfr=1 - Paulding at Antwerp | 2022 Football | MySports.Live - Oct 14, 2022",

        "https://vcloud.hudl.com/file/broadcast/438954.m3u8?hfr=1 - Paulding at Wayne Trace | 2022 Volleyball | MySports.Live - Oct 13, 2022",

        "https://vcloud.hudl.com/file/broadcast/438953.m3u8?hfr=1 - Antwerp at Paulding | 2022 Volleyball | MySports.Live - Oct 11, 2022",

        "https://vcloud.hudl.com/file/broadcast/435323.m3u8?hfr=1 - Tinora at Paulding | 2022 Football | MySports.Live - Oct 07, 2022", 

        "https://vcloud.hudl.com/file/broadcast/431389.m3u8?hfr=1 - Edgerton at Paulding | 2022 Football | MySports.Live - Sep 23, 2022",

        "https://vcloud.hudl.com/file/broadcast/424199.m3u8?hfr=1 - Defiance at Paulding | 2022 Volleyball | MySports.Live - Sep 12, 2022",

        "https://vcloud.hudl.com/file/broadcast/417719.m3u8?hfr=1 - Delta at Paulding | 2022 Football | MySports.Live - Sep 02, 2022",

        "https://vcloud.hudl.com/file/broadcast/412919.m3u8?hfr=1 - Spencerville at Paulding | 2022 Football | MySports.Live - Aug 26, 2022",

        "https://vcloud.hudl.com/file/broadcast/412917.m3u8?hfr=1 - Paulding at Crestview | 2022 Volleyball | MySports.Live - Aug 23, 2022",

        "https://vcloud.hudl.com/file/broadcast/412915.m3u8?hfr=1 - Van Wert at Paulding | 2022 Volleyball | MySports.Live - Aug 22, 2022",

        "https://vcloud.hudl.com/file/broadcast/356272.m3u8?hfr=1 - Bryan at Paulding | 2021-22 Boys Basketball | MySports.Live - Feb 12, 2022",

        "https://vcloud.hudl.com/file/broadcast/356271.m3u8?hfr=1 - Wayne Trace at Paulding | 2021-22 Girls Basketball | MySports.Live - Feb 12, 2022",

        "https://vcloud.hudl.com/file/broadcast/356270.m3u8?hfr=1 - Antwerp at Paulding | 2021-22 Boys Basketball | MySports.Live - Feb 11, 2022",

        "https://vcloud.hudl.com/file/broadcast/356268.m3u8?hfr=1 - Paulding at Antwerp | 2021-22 Girls Basketball | MySports.Live - Feb 10, 2022",

        "https://vcloud.hudl.com/file/broadcast/352282.m3u8?hfr=1 - Paulding at Wayne Trace | 2021-22 Boys Basketball | MySports.Live - Feb 04, 2022",

        "https://vcloud.hudl.com/file/broadcast/348663.m3u8?hfr=1 - Tinora at Paulding | 2021-22 Boys Basketball | MySports.Live - Jan 28, 2022",

        "https://vcloud.hudl.com/file/broadcast/348645.m3u8?hfr=1 - Parkway at Paulding | 2021-22 Girls Basketball | MySports.Live - Jan 25, 2022",

        "https://vcloud.hudl.com/file/broadcast/342336.m3u8?hfr=1 - Hicksville at Paulding | 2021-22 Girls Basketball | MySports.Live - Jan 13, 2022",

        "https://vcloud.hudl.com/file/broadcast/338470.m3u8?hfr=1 - Bluffton at Paulding | 2021-22 Girls Basketball | MySports.Live - Jan 08, 2022",

        "https://vcloud.hudl.com/file/broadcast/338469.m3u8?hfr=1 - Edgerton at Paulding | 2021-22 Boys Basketball | MySports.Live - Jan 07, 2022",

        "https://vcloud.hudl.com/file/broadcast/338466.m3u8?hfr=1 - Delphos St.John's at Paulding | 2021-22 Girls Basketball | MySports.Live - Jan 04, 2022",

        "https://vcloud.hudl.com/file/broadcast/338463.m3u8?hfr=1 - Tinora vs Paulding | 2021 State Bank Holiday Classic | MySports.Live - Dec 28, 2021",

        "https://vcloud.hudl.com/file/broadcast/338462.m3u8?hfr=1 - Paulding vs Wauseon | 2021 Boys Basketball | MySports.Live - Dec 27, 2021",

        "https://vcloud.hudl.com/file/broadcast/334810.m3u8?hfr=1 - Cardinal Stritch at Paulding | 2021-22 Boys Basketball | MySports.Live - Dec 21, 2021",

        "https://vcloud.hudl.com/file/broadcast/334808.m3u8?hfr=1 - Ottoville at Paulding | 2021-22 Boys Basketball | MySports.Live - Dec 18, 2021",

        "https://vcloud.hudl.com/file/broadcast/334806.m3u8?hfr=1 - Ayersville at Paulding | 2021-22 Girls Basketball | MySports.Live - Dec 16, 2021",

        "https://vcloud.hudl.com/file/broadcast/334804.m3u8?hfr=1 - Holgate at Paulding | 2021-22 Girls Basketball | MySports.Live - Dec 14, 2021",

        "https://vcloud.hudl.com/file/broadcast/334803.m3u8?hfr=1 - Montpelier at Paulding | 2021-22 Girls Basketball | MySports.Live - Dec 13, 2021",

        "https://vcloud.hudl.com/file/broadcast/332051.m3u8?hfr=1 - Maumee Valley Country Day at Paulding | 2021-22 Boys Basketball | MySports.Live - Dec 10, 2021",

        "https://vcloud.hudl.com/file/broadcast/324656.m3u8?hfr=1 - Continental at Paulding | 2021-22 Boys Basketball | MySports.Live - Nov 26, 2021",

        "https://vcloud.hudl.com/file/broadcast/324654.m3u8?hfr=1 - Delphos Jefferson at Paulding | 2021-22 Girls Basketball | MySports.Live - Nov 23, 2021",

        "https://vcloud.hudl.com/file/broadcast/324652.m3u8?hfr=1 - Liberty Center at Paulding | 2021-22 Girls Basketball | MySports.Live - Nov 19, 2021",

